show_id,type,title,release_year,description,review_text,author,created_at,url,source
s1,Movie,Dick Johnson Is Dead,2020,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",,,,,tmdb_error
s2,TV Show,Blood & Water,2021,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",,,,,tmdb_error
s3,TV Show,Ganglands,2021,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,,,,tmdb_error
s4,TV Show,Jailbirds New Orleans,2021,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,,,,tmdb_error
s5,TV Show,Kota Factory,2021,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,,,,tmdb_error
s6,TV Show,Midnight Mass,2021,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,,,,tmdb_error
s7,Movie,My Little Pony: A New Generation,2021,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",,,,,tmdb_error
s8,Movie,Sankofa,1993,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",,,,,tmdb_error
s9,TV Show,The Great British Baking Show,2021,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",,,,,tmdb_error
s10,Movie,The Starling,2021,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,,,,,tmdb_error
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",,,,,tmdb_error
s12,TV Show,Bangkok Breaking,2021,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",,,,,tmdb_error
s13,Movie,Je Suis Karl,2021,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",,,,,tmdb_error
s14,Movie,Confessions of an Invisible Girl,2021,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",,,,,tmdb_error
s15,TV Show,Crime Stories: India Detectives,2021,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,,,,,tmdb_error
s16,TV Show,Dear White People,2021,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",,,,,tmdb_error
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",,,,,tmdb_error
s18,TV Show,Falsa identidad,2020,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,,,,,tmdb_error
s19,Movie,Intrusion,2021,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",,,,,tmdb_error
s20,TV Show,Jaguar,2021,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",,,,,tmdb_error
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",,,,,tmdb_error
s22,TV Show,Resurrection: Ertugrul,2018,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",,,,,tmdb_error
s23,Movie,Avvai Shanmughi,1996,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",,,,,tmdb_error
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",,,,,tmdb_error
s25,Movie,Jeans,1998,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",,,,,tmdb_error
s26,TV Show,Love on the Spectrum,2021,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",,,,,tmdb_error
s27,Movie,Minsara Kanavu,1997,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,,,,,tmdb_error
s28,Movie,Grown Ups,2010,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",,,,,tmdb_error
s29,Movie,Dark Skies,2013,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",,,,,tmdb_error
s30,Movie,Paranoia,2013,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",,,,,tmdb_error
s31,Movie,Ankahi Kahaniya,2021,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",,,,,tmdb_error
s32,TV Show,Chicago Party Aunt,2021,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,,,,,tmdb_error
s33,TV Show,Sex Education,2020,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",,,,,tmdb_error
s34,TV Show,Squid Game,2021,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",,,,,tmdb_error
s35,TV Show,Tayo and Little Wizards,2020,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,,,,,tmdb_error
s36,Movie,The Father Who Moves Mountains,2021,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",,,,,tmdb_error
s37,Movie,The Stronghold,2021,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",,,,,tmdb_error
s38,TV Show,Angry Birds,2018,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",,,,,tmdb_error
s39,Movie,Birth of the Dragon,2017,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",,,,,tmdb_error
s40,TV Show,Chhota Bheem,2021,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",,,,,tmdb_error
s41,TV Show,He-Man and the Masters of the Universe,2021,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,,,,,tmdb_error
s42,Movie,Jaws,1975,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",,,,,tmdb_error
s43,Movie,Jaws 2,1978,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",,,,,tmdb_error
s44,Movie,Jaws 3,1983,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",,,,,tmdb_error
s45,Movie,Jaws: The Revenge,1987,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",,,,,tmdb_error
s46,Movie,My Heroes Were Cowboys,2021,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",,,,,tmdb_error
s47,Movie,Safe House,2012,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,,,,,tmdb_error
s48,TV Show,The Smart Money Woman,2020,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",,,,,tmdb_error
s49,Movie,Training Day,2001,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,,,,,tmdb_error
s50,TV Show,Castle and Castle,2021,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",,,,,tmdb_error
